UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Oliver Neuroth,@ONeuroth,2020-04-03T08:08:47.000Z,Spanien hat - umgerechnet auf die Einwohnerzahl - zehn Mal mehr Corona-Todesfälle als das Nachbarland #Portugal. Ein Grund: Die Regierung in Lissabon hat deutlich früher das öffentliche Leben eingeschränkt. #Coronakrise #COVID19,"Aktuelle Nachrichten - Inland Ausland Wirtschaft Kultur Sport - ARD Tagesschau
tagesschau.de",,,14,27,['https://pbs.twimg.com/card_img/1395480911081185280/xOG4Glan?format=png&name=small'],https://twitter.com/ONeuroth/status/1245986590964551680
Rachel Stewart,@RachelStewart04,2020-04-03T08:11:27.000Z,"Top tip #COVID19 : use your dry, chapped hands as a natural exfoliator for the rest of your body ",,✅,2,5,47,[],https://twitter.com/RachelStewart04/status/1245987261549854720
Rachel Stewart,@RachelStewart04,2020-04-03T14:52:24.000Z,Why is asparagus a priority in Germany’s #COVID19 response? Here’s a helpful poem to get you up to speed  https://youtu.be/blpDsXU7s4k #spargelernte #spargel,"Asparagus: A love poem for Germany's favorite vegetable | Meet the...
Asparagus festivals, asparagus queens, asparagus pizza... the Germans are never happier than when asparagus season rolls around. Meet the Germans presenter R...
youtube.com",👉,4,7,21,['https://pbs.twimg.com/card_img/1395274945106792450/fAChExyq?format=jpg&name=240x240'],https://twitter.com/RachelStewart04/status/1246088164416065536
Emek Ersoysal,@EmekErsoysal,2020-04-03T08:22:16.000Z,"Hayirli Cumalar guzel insanlar sizlere müşteri memnuniyetlerini sunmaya devam ediyorum. Karakovan ve Bal için doğru Avrupa da doğru Adres
#honey #COVID19Pandemic #Coronakrise #Corona #coronavirus #COVID19 #Bal #Honig #EvdeKal #sipariş #StayHomeSaveLives","0:10
90 Mal angezeigt",💪,,,,[],https://twitter.com/EmekErsoysal/status/1245989984739483649
Silke Bettina Kargl,@sbkDiggi17,2020-04-04T20:40:32.000Z,"#Edeka macht Tanzwerbung
#cool
https://youtu.be/902cgK7_glU
#COVID19","EDEKA | Jeder eurer Schritte
Danke fürs Abstand- und Zusammenhalten. Ihr seid - auch mit Abstand - die besten Kundinnen und Kunden, die man sich wünschen kann. #wirundjetztfüralle
youtube.com",,,,,[],https://twitter.com/sbkDiggi17/status/1246538162370940930
Koray Tuna,@jimbo_jambalaya,2020-04-04T13:28:58.000Z,"Viele verhalten sich jetzt schon als ob das bald vorbei ist. Ich hoffe die Enttäuschung ist nicht allzu groß, falls es anders kommen sollte. #coronavirus #COVID19",,,,,,[],https://twitter.com/jimbo_jambalaya/status/1246429556040511488
Viktoria,@vv_viktoria,2020-04-04T19:32:56.000Z,"Wäre schön, wenn wir endlich aufhören, die #CoronaZeit als Krieg zu bezeichnen.
Es ist eine Pandemie - ja.
Eine Krise - ja.
Von mir aus - ein Kampf.
Aber es ist kein Krieg. Wir sind nicht im Krieg.

#WeAreNotAtWar #JustKeepDistance #JustStayHome #JustHelp #COVID19",,,1,,3,[],https://twitter.com/vv_viktoria/status/1246521150999576577
FührungskräfteChemie,@VAA_de,2020-04-04T12:31:55.000Z,"Im Kampf gegen die Ausbreitung des neuartigen #Corona-Virus und der #COVID19-Pandemie spielen rechtzeitige und zuverlässige Tests eine Schlüsselrolle. Wie diese funktionieren, erklärt 
@compoundchem
 in einem Schaubild. https://compoundchem.com/2020/03/19/covid-19-testing/…",,,1,,3,[],https://twitter.com/VAA_de/status/1246415200917557254
Christoph Schulte-Richtering,@ChristophSchuRi,2020-04-04T07:51:09.000Z,"Vorschlag „Virologen-Quartett“ für die freie Zeit: Mit den jeweiligen Prognosen ‚Länge Shutdown’, ‚Anzahl der Infizierten‘, ‚Mindestabstand’. Mit Kekulé, Drosten und natürlich dem Blitztrumpf Wodarg! #corona #covid19 #pandemie #masken #CoronaZeit",,,1,,2,[],https://twitter.com/ChristophSchuRi/status/1246344540484767749
Peter Ullrich,@PJUllrich,2020-04-05T11:20:25.000Z,"Diese elendig langen Wartezeiten an der Rheinuferstraße waren schon immer nervig aber jetzt mit #COVID19 werden sie auch noch gefährlich
@Koeln",,,10,22,134,['https://pbs.twimg.com/media/EU1hPP2XgAE-pzV?format=jpg&name=small'],https://twitter.com/PJUllrich/status/1246759591788056577
