,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10
2020-11-09,allgemeinverfügung,corona,schweinshaxe,daseinsvorsorge,wissenschaftsakademie,leiter,stadtgebiet,gesundheitsrisiko,fall,tragen
2020-11-10,eilanträge,rauchen,nachrichtenmeldung,unterricht,gerichtssprecher,vertrag,corona,versammlung,mensch,klage
2020-11-11,corona,zahl,pandemie,weihnachtsferie,pflegetag,weihnachtsgeld,winterferien,neuinfektion,hungerstreik,dezember
2020-11-12,corona,krisentarifvertrag,schließung,regelbetrieb,bericht,anstieg,passagier,unternehmen,angriffe,auffälligkeit
2020-11-13,weihnachtsmann,corona,rettungsschirm,land,november,kern,rechtsstaatlichkeit,pfizer,erklärung,impfstoff
2020-11-14,aufforderung,corona,wasserwerfer,querdenken,protestzug,linksfraktion,neuinfektion,gegendemonstranten,krankenpfleger,grundsicherung
2020-11-15,corona,altenheime,sterben,sonntag,szene,kirche,finanzierung,welt,september,bundeswehr
2020-11-16,corona,mensch,impfstoff,klasse,person,hausstand,beschlussvorlage,aufenthalt,klassenraum,krankenkasse
2020-11-17,corona,tube,luftreiniger,million,schuljahr,lüften,zentralregierung,pandemie,zahl,fall
2020-11-18,corona,bundestag,kundgebung,infektionsschutzgesetzes,richterbund,verwaltungsgericht,abgeordnet,änderung,schule,wirksamkeit
2020-11-19,corona,zahl,frost,heimaufsicht,armut,delegation,intensivpatient,coronavirus,region,bundestag
2020-11-20,corona,kirche,niederländer,patriarch,zahl,coronavirus,oberhaupt,datum,impfstoff,mensch
2020-11-21,g20,corona,november,sohn,coronavirus,mensch,weihnachtsmärkte,gastgeber,impfstoffen,treffen
2020-11-22,corona,dezember,welle,bühne,g20,gegendemonstranten,schüler,verlängerung,coronapandemie,infrastruktur
2020-11-23,corona,böllern,marcouch,weihnachten,dezember,abwärtstrend,effektivität,krankenhaus,maßnahmen,impfstoff
2020-11-24,dezember,silvester,papst,corona,weihnachten,land,feuerwerk,buch,menschheit,weihnachtsferie
2020-11-25,zahl,million,corona,mittwoch,umwelthilfe,mut,dezember,bund,bahn,protest
2020-11-26,corona,weihnachten,thanksgiving,tier,dezember,gewandhaus,farm,parade,umwelthilfe,neujahr
2020-11-27,dezember,militärangehörige,corona,hotelübernachtung,falschinformation,parteitag,grundsicherung,inhalt,weihnachten,antrag
2020-11-28,silvester,weihnachten,corona,brinkhaus,familienbesuch,unionsfraktionschef,fest,übernachtung,pub,geschäft
2020-11-29,sonntag,corona,veranstaltungsgewerbe,weihnachten,adventszeit,dezemberhilfe,norditalien,berechnung,weihnachtsfeiertage,bund
2020-11-30,gefangen,corona,wort,gesundheitsreserve,schutzausrüstung,aufseher,vorweihnachtszeit,gefängnis,uhr,gesellschaft
2020-12-01,filiale,corona,franziskanerinnen,orden,schwester,november,geschäft,dezember,us,zulassung
2020-12-02,corona,gaststätte,impfstoff,freistaat,kurs,notfallzulassung,wiedereröffnung,genehmigung,land,januar
2020-12-03,corona,januar,pandemie,un,prozent,buchung,mensch,donnerstag,pfund,coronavirus
2020-12-04,corona,uhr,mensch,steuererhöhung,durchschnitt,erzieherinnen,schnelltests,erzieher,zone,städtetag
2020-12-05,corona,zahl,massenimpfung,bundesverfassungsgericht,dezember,euro,frage,absatzzahl,ausbildungshilfen,auslandsreiseführer
2020-12-06,sonntag,demokratie,corona,verfassungsschutz,zahl,angelus,seilbahn,bewegung,demonstration,welt
2020-12-07,corona,konflikt,labor,weihnachten,januar,verschärfung,zahl,woche,gesundheitspolitiker,altersgruppe
2020-12-08,weihnachten,corona,weihnachtsferie,januar,silvester,feiertag,cnn,lockdown,schule,vorwoche
2020-12-09,weihnachten,corona,reaktion,feiertag,ffp2,massenimpfung,cyberangriff,attacke,jahreswechsel,impfstoff
2020-12-10,weihnachten,corona,akademie,lockdown,jahreswechsel,pandemie,ausgangssperre,anleihekäufe,brennglas,fehlentwicklung
2020-12-11,krisengipfel,corona,land,geschenk,lockdown,fda,einschnitt,sonntag,heiligabend,bund
2020-12-12,verbot,querdenken,ansammlung,corona,demonstrant,versammlungsverbot,mensch,polizei,einsatz,stadt
2020-12-13,corona,bund,abfällen,versicherungsbranche,firmaenkunde,kreativwirtschaft,länder,kanzleramt,lockdown,wald
2020-12-14,corona,impfstoff,sinopharm,land,geschäft,virusstamm,mensch,maßnahmen,dpa,emirat
2020-12-15,corona,weihnachten,notfallzulassung,altenpflege,januar,impfstoff,pandemie,zulassung,demonstrant,beschränkung
2020-12-16,impfung,triage,dezember,corona,coronavirusaußerdem,beitrag,sauerstoffbeatmung,patient,forschung,impfstoff
2020-12-17,nikolausfeier,januar,singen,triage,dezember,direktor,uniklinik,impfung,corona,internetseite
2020-12-18,corona,januar,lockdown,stufe,mensch,feuerwerksverbot,sammlung,vereinbarkeit,beruf,lift
2020-12-19,weihnachten,corona,abschlagszahlung,novemberhilfe,bischof,auszahlung,impfung,arzneimittelbehörde,pflegekraft,reaktion
2020-12-20,variante,flug,coronavirus,mutation,schwein,corona,stall,verkehrsverbindung,januar,verbot
2020-12-21,mutation,coronavirus,bezirksregierung,beurteilung,marktzulassung,universitätsklinik,kabinett,corona,produkt,passagier
2020-12-22,corona,mutation,variante,gewaltstraftat,grenzsituation,großvermieter,steuerzahlung,coronavirus,weihnachten,darsteller
2020-12-23,lkw,variante,krematorie,pflegekraft,coronavirus,verkehrsministerium,fahrer,prämie,heim,mutation
2020-12-24,variante,mutation,stau,region,corona,woche,christmette,kurzarbeitsanzeigen,präsidentenresidenz,coronavirus
2020-12-25,balkon,ballweg,heiligabend,fahrer,glaube,jahres,querdenken,mensch,soldat,lkw
2020-12-26,raucher,impfstart,corona,impfung,feiertag,betreibers,grütter,imfpung,neujahrsferien,nichtraucher
2020-12-27,seniorenzentrum,corona,geimpften,impfbeginn,ski,winterberg,coronavirus,infektionszahlen,mensch,sonntagmorgen
2020-12-28,corona,feuerwerk,patientin,schnee,dosis,verkaufsverbot,mensch,sonntagabend,flughafen,coronavirus
2020-12-29,corona,diskriminierung,geimpften,natur,krankenhausgesellschaft,klinik,impfung,sozialwohnung,januar,mensch
2020-12-30,corona,impfstoff,januar,impfung,mensch,feuerwerk,winterberg,zulassung,erbgut,nachmeldung
2020-12-31,dkg,spaltung,sinopharm,bevölkerungsgruppe,corona,januar,krise,altenpfleger,beschleuniger,bildungsferne
2021-01-01,corona,shisha,kooperationspartner,cafe,januar,impfstoff,land,lieferung,dosis,jahreswechsel
2021-01-02,party,januar,corona,terminvergabe,rave,verlängerung,inzidenzzahl,wirtschaftsforschung,mensch,wert
2021-01-03,impfstoff,winterberg,vorlauf,morgenpost,kritik,corona,bereitstellung,polizei,vakzin,impfverordnung
2021-01-04,zulassung,januar,corona,impfung,frage,impfstrategie,bundestagsfraktion,mensch,grundrecht,breitband
2021-01-05,impfstoff,januar,land,corona,mensch,parkplatz,apotheker,treffen,testphase,mann
2021-01-06,corona,sternsinger,million,kilometer,staat,impfstoff,fdp,moderna,kritik,mensch
2021-01-07,corona,labortest,variante,million,januar,anteil,studie,impfdosen,dezember,kanzleramtschef
2021-01-08,dosis,impfterminen,biontech,pfizer,corona,ampulle,lieferung,impfstoffs,mutation,tag
2021-01-09,corona,auswahl,franziskus,besserung,département,karrenbauer,kramp,wahlkampf,impfstoff,information
2021-01-10,zoo,variante,land,million,minute,spritze,impfdosis,coronavirus,abnicker,eintrittsgelder
2021-01-11,corona,krematorie,bundesland,arbeitsplatz,nachbarstaat,überblick,bewegungsverbot,gefilde,luftschleuse,mikronesiens
2021-01-12,corona,pflegekraft,impfpflicht,novemberhilfe,mutation,november,berechnung,impfstoff,auskunft,coronavirus
2021-01-13,impfpflicht,variante,corona,januar,ffp2,pflegekraft,soldat,bedürftige,epidemie,phase
2021-01-14,parkplatz,abschluß,vorgänger,piste,winterberg,virus,coronavirus,corona,eltern,uhr
2021-01-15,pilot,dienstlaptop,corona,polizei,fdp,november,prozent,kanzleramt,treffen,lockdowns
2021-01-16,corona,länder,heim,zahl,mutation,spritze,griff,variante,perspektive,virus
2021-01-17,corona,maa,ffp2,eiscreme,familienexperte,geimpfter,sonntag,bahn,theologin,unsinn
2021-01-18,corona,klinikum,sondersitzung,mutation,verschärfung,metall,pandemie,coronavirus,mensch,jährigen
2021-01-19,corona,februar,bund,kunstsammlerin,ffp2,vielfalt,industrie,masken,prozent,museum
2021-01-20,schweigepflicht,corona,maske,parlamentsgeschäftsführer,schutzgrad,mann,erwerb,lieferung,verkehrsunternehmen,verordnung
2021-01-21,grenzschließung,corona,prozent,ampullen,sequenzierung,eu,todesrate,pfund,meldung,helfer
2021-01-22,karneval,februar,spiel,corona,begründungselement,fertigungsproblem,gottesdienstbesucher,handlungssicherheit,schwankungen,sozialminister
2021-01-23,impfung,ametsreiter,autodiebstahl,einwanderungsbehörden,frühjahrslockdowns,garage,jordan,mobilfunkmast,mobilitätsdaten,privatklinik
2021-01-24,bedürfnis,corona,bundesbehörde,sonntag,handball,sportart,mitarbeiter,brand,impfung,auftreten
2021-01-25,corona,freiwillige,krawall,neubau,hotline,masken,kinderschutzorganisation,pasteur,ffp2,hilfseinsätze
2021-01-26,corona,mikrozensus,reichsbürger,mutation,ballweg,klinikum,million,wohnort,impfstoff,version
2021-01-27,corona,mutation,eu,impfstoff,verordnung,pandemie,bundeswehr,bundesregierung,krawall,homeoffice
2021-01-28,pharmahersteller,vertrag,bundesregierung,bezieher,mutation,impfgipfel,sicherheitskraft,vertreter,wechselunterricht,impfstoff
2021-01-29,corona,januar,kommission,impfstoffs,mensch,impfstoff,medikament,variante,bundesagentur,hochrisikogebieten
2021-01-30,familie,homeschooling,leuchtturm,tablette,corona,intensivpflege,kubaner,kraftakt,krankenpflegerin,taxi
2021-01-31,meldung,impfstoff,impfgipfel,corona,notfall,erwartung,stadt,auto,bundesdurchschnitt,bundesfamililenministerin
2021-02-01,corona,skilift,rabbiner,papst,rupie,impfeinheit,visite,zahl,mensch,gewalt
2021-02-02,corona,soldat,stadtrat,hotline,entwickler,impfung,impfstoff,februar,lockdown,verfahren
2021-02-03,corona,impfstoff,variante,kinderbonus,fliegerhorst,hilfseinsatz,ffp2,jahrestreffen,mehrwert,sputnik
2021-02-04,februar,corona,gavi,koalition,impfplan,einmalzahlung,techniker,coronahilfen,koalitionsausschuß,krankschreibung
2021-02-05,corona,altersbeschränkung,wohnfläche,wohnungsmarkt,bürofläche,entspannung,impfstoff,bündnis,jahr,präsidentin
2021-02-06,impfstoff,corona,bundespräsident,umnutzung,bürofläche,lieferung,wohnraum,jahr,mensch,hersteller
2021-02-07,stufenplan,spendenbereitschaft,whistleblowern,whistleblower,gerücht,tierpark,trauernd,februar,impfung,schule
2021-02-08,variante,impfstoff,corona,astrazeneca,wirksamkeit,ausgangssperre,anerkennung,fortsetzung,staatssekretär,regierung
2021-02-09,corona,mitführpflicht,kinderbonus,euro,bundesverkehrsministerium,warnwesten,zuschus,tier,asylsuchend,katze
2021-02-10,corona,bund,land,impfstoff,länder,million,beschluß,ap,anwendung,verlängerung
2021-02-11,weiberfastnacht,spender,weihwasser,benefiz,redner,verlängerung,corona,abschiebung,bühnenarbeiter,karnevalisten
2021-02-12,familienunternehmer,sonderzulassung,corona,bundesbank,einigkeit,scheuer,impfreihenfolge,steinmeier,variante,bundesrat
2021-02-13,corona,gipfel,ware,bundespolizei,variante,prozent,bezirksvorsitzende,brancheninformation,containerbüros,hallenbäder
2021-02-14,corona,grenze,variante,sonntag,virusmutation,coronavirus,einreiseregeln,bundespolizei,prozent,aufpicken
2021-02-15,corona,grenze,grenzkontrolle,songs,nachricht,pandemie,flüchtling,gemeinde,karneval,regierung
2021-02-16,corona,januarwoche,integration,wirtschaft,selbstständige,solo,stufenplan,vertreter,impfstoff,grenzwert
2021-02-17,sauna,prioritätsgruppe,impfstoff,prozent,variante,woche,mitarbeiter,corona,saunabauer,million
2021-02-18,kurzarbeit,prozent,formel,corona,asylantrag,lohnzuschuß,anteil,vergnügungspark,januar,drittel
2021-02-19,corona,dosis,million,öffnung,kontinent,stocken,woche,zahl,trend,neuinfektion
2021-02-20,priorisierungsgruppe,corona,grundschullehrer,kammer,erzieher,grenzübergang,mensch,angabe,mutation,impfverordnung
2021-02-21,lkw,verbandschef,gesundheitsrisiko,wettbewerb,übergang,erziehung,pfizer,bildung,lehrkräfte,öffnung
2021-02-22,lockerung,gasse,öffnung,gastronomie,amtsarzt,haushaltspolitiker,corona,schwimmbad,impfreihenfolge,impfstoff
2021-02-23,corona,weltbank,märz,stufenplan,einführung,schnelltests,patient,petition,verzögerung,impfung
2021-02-24,corona,öffnungsschritt,sicherheit,impfstoff,schnelltests,variante,grafik,mensch,bundestag,forscherinnen
2021-02-25,corona,impfstoff,eu,vermittler,grafik,verwaltungsbezirk,mutante,anhörung,variante,kontingent
2021-02-26,geimpfte,vorsicht,bischofskonferenz,corona,impfstoff,straßenkünstler,impfung,gesundheitszentrum,impfangebot,apotheken
2021-02-27,corona,stiko,mensch,impfung,impfstoff,pandemie,dollar,no,beförderungsverbot,freifahrtschein
2021-02-28,corona,impfstoff,expertenrat,zulassung,pfund,pharma,sprache,wort,million,prozent
2021-03-01,corona,impfung,schnelltests,ap,erzieher,beratungsfirma,sinovac,kita,öffnung,testzentrum
2021-03-02,corona,änderung,umsatz,aufschub,öffnungsschritt,wirtschaftsrat,bund,prozent,land,öffnung
2021-03-03,impfung,corona,seepferdchen,pandemie,angst,bad,inzidenzwerten,impfstoff,prozent,bund
2021-03-04,beschluß,pharmazie,coronamaßnahmen,bund,land,buchhandlung,schnelltests,meinung,professor,corona
2021-03-05,corona,notstand,armut,mensch,immunisierung,großraum,märz,hausarzt,januar,amnesty
2021-03-06,discounter,selbsttests,mensch,teststrategie,corona,test,dalai,jugendring,lama,zoo
2021-03-07,schnelltests,christdemokrat,oecd,spitzenkandidat,charge,exportstopp,pass,corona,impfstoff,regierungschefin
2021-03-08,corona,schnelltest,ausreisebeschränkung,apotheken,charge,buchmesse,inzidenz,hochzeit,impfung,aufklärung
2021-03-09,corona,impfung,hausbesuch,märz,priorisierung,kapazitätsgrenze,woche,test,start,fabrik
2021-03-10,corona,quadratmer,hausarztpraxis,impfstoff,impfung,finanzierungslücke,kundinnen,milliarde,jahrgangsstufen,dosis
2021-03-11,corona,impfstoff,inzidenz,impfung,tal,beschuldigt,tage,land,patentschutz,sieben
2021-03-12,impfung,hunger,konflikt,corona,impfstoff,hausarzt,einbeziehung,vogtlandkreis,brexit,einbindung
2021-03-13,corona,dom,mensch,impfstoff,impfung,fernsehteam,demo,blutgerinnsel,taskforce,angriff
2021-03-14,blutgerinnsel,corona,balearen,sonntag,impfstoff,termin,inseln,bareiß,gesundheitsbehörde,urlaub
2021-03-15,impfung,impfstoff,corona,astrazeneca,landeswahlleiter,produktionslinie,aussetzung,ferieninsel,landtagswahl,briefwahl
2021-03-16,impfung,karaoke,pub,beirat,vorteil,corona,impfstoff,astrazeneca,april,geimpfte
2021-03-17,corona,impfstoff,impfung,beauftragt,reise,land,quartal,öffnungsschritt,brauerei,notbetrieb
2021-03-18,symbol,corona,bild,impfstoff,norden,pandemie,stopp,empfehlung,großraum,vereinbarung
2021-03-19,impfung,corona,blutgerinnsel,impfstoff,oscar,verleihung,inzidenz,land,rücknahme,gute
2021-03-20,urlaub,osterferien,strand,brandenburg,gartenlokal,urlaubsregelung,voranschreiten,camping,jahresmitte,kurz
2021-03-21,corona,taxi,sonntag,hilfslehrerin,philharmoniker,einreise,fehlverhalten,berufspendler,testpflicht,ferienhaus
2021-03-22,corona,kundenbegrenzung,terminbuchung,ostern,land,unterbrechung,karneval,quadratmeter,rückkehrer,kanzler
2021-03-23,beschluß,corona,befragung,beratungen,fecht,hallen,leichtathlet,torun,weltcup,zukunftsangst
2021-03-24,osterruhe,ostern,ruhetag,fehler,gottesdienst,vertrauensfrage,verzeihung,kirche,gründonnerstag,sternberg
2021-03-25,corona,test,sklaverei,glück,regierungserklärung,niedriginzidenz,schwarzarbeit,fackellauf,generalstaatsanwaltschaft,inzidenz
2021-03-26,corona,pandemie,osterruhe,modellversuch,stürmer,ostern,anstieg,variante,fehler,million
2021-03-27,corona,orla,saale,nachhilfeprogramm,einfuhr,online,stuhl,abkommen,falschinformation,sanktion
2021-03-28,geldautomat,notbremse,sonntag,corona,bargeld,flughafen,prozent,umsetzung,kinderkrankentage,sterberate
2021-03-29,tierarzt,corona,april,kreis,notbremse,ausgangssperren,inzidenzwert,präparat,instrument,bürgermeister
2021-03-30,corona,hochschule,dosis,impfstoff,betriebsarzt,land,impfung,bundespolizei,jahr,theorie
2021-03-31,astrazeneca,impfstoff,name,corona,arzneimittelagentur,jahr,altersempfehlung,sicherheitsausschuß,wahlfreiheit,modellprojekt
2021-04-01,corona,million,impfung,dosis,prozent,bürger,impfkommission,impfkampagne,impfstoff,befragt
2021-04-02,astrazeneca,zweitimpfung,impfung,empfehlung,kulturveranstaltung,antwort,impfkommission,karfreitag,moderna,corona
2021-04-03,protesten,corona,arbeitslose,journalistin,osterfeiertagen,übergriff,mensch,demonstrant,impfung,impfstoff
2021-04-04,stiftung,kinderrecht,staatsminister,freiheit,recht,corona,regel,querdenken,bewegung,lockdown
2021-04-05,corona,pilgerfahrt,welle,mensch,prozent,abstandhalten,buchungssystem,halbinsel,heimatlandkreis,insolvenzrechtsexperte
2021-04-06,hausarzt,corona,abiturprüfung,bundesschülerkonferenz,delegiert,praxis,impfstoff,präfektur,april,impfung
2021-04-07,corona,impfstoff,gedächtniskirche,kaiser,wieland,wilhelm,thrombose,zweitimpfung,moderna,impfung
2021-04-08,corona,impfstoff,kultusministerkonferenz,arzneimittelbehörde,sputnik,bundestag,empfehlung,initiative,astrazeneca,videoschalte
2021-04-09,corona,zahl,dosis,land,überbrückungshilfe,impfstoff,kreuzimpfung,impfung,fünfte,testtermin
2021-04-10,corona,bundesschülerkonferenz,jahr,charité,zahl,intensivstation,industrie,vortag,ihmzufolge,krankenversorgung
2021-04-11,corona,gesundheitsexperte,effekt,studie,bundesregierung,pandemie,impfung,woche,kongresszentrums,änderung
2021-04-12,corona,änderung,impfstoff,infektionsschutzgesetzes,erwachsene,testpflicht,land,woche,impfung,ampel
2021-04-13,corona,markteinführung,testangebotspflicht,intensivpatienten,bundeskabinett,beschäftigt,arbeitgeber,unternehmen,änderung,forscher
2021-04-14,corona,ausbildungsverträge,impfstoff,eu,impfung,grafik,dosis,notbremse,lieferung,innenraum
2021-04-15,corona,abwasser,grafik,wunder,studiendaten,million,priorisierung,kinder,tageszeitung,wähler
2021-04-16,impfung,corona,änderung,vakzinen,40,bundestagsanhörung,tag,kreis,betreuerstab,auffrischung
2021-04-17,amnestie,koalitionsfraktion,querdenken,corona,theater,gefängnis,polizei,modellprojekt,verbraucher,demonstration
2021-04-18,hinterblieben,corona,mensch,erwachsene,lockdown,praxis,ausgangssperre,altersstufe,angebotspflicht,aosta
2021-04-19,corona,win,tierhandel,inzidenz,sieben,tage,tag,ausgangsbeschränkung,infektionsschutzgesetz,fraktion
2021-04-20,corona,leichenhallen,impfstoff,notbremse,präsentation,blutgerinnsel,variante,schulschließung,post,alexander
2021-04-21,impfung,corona,stufe,prozent,aufbaufonds,arztpraxis,zahl,inzidenzwert,jährigen,woche
2021-04-22,notbremse,musikpreis,palme,infektionsschutzgesetzes,corona,bundesrat,dosis,variante,bedenken,hand
2021-04-23,internetaktion,corona,schauspieler,million,zweitimpfung,varianten,ausgangsbeschränkung,pandemie,mensch,impfstoff
2021-04-24,notbremse,bundes,corona,beschwerde,million,innenstadt,grafik,sauerstoff,ausgangsbeschränkung,mensch
2021-04-25,kochsalzlösung,corona,impfgipfel,sonntag,geimpfte,regierung,impfstoff,schauspieler,verfassungsorgan,mitarbeiterin
2021-04-26,corona,essens,verfassungsorgan,scheuer,pub,land,spende,rückkehr,mai,variante
2021-04-27,corona,konzert,mediziner,natur,jugendliche,sauerstoffkonzentratoren,geimpften,kulturschaffend,impfstoff,gesetz
2021-04-28,geimpfte,corona,bundesnotbremse,impfung,million,desinformationskampagne,reiseaktivität,mensch,schritt,person
2021-04-29,todesliste,corona,einweisung,risiko,kanzlerkandidat,dosis,bundestagsabgeordnete,prozent,woche,zulassung
2021-04-30,semperoper,corona,regelung,notbremse,hilfslieferung,landesverordnung,migrationshintergrund,erleichterung,oper,bundesrat
2021-05-01,corona,maschine,park,party,anlage,luftwaffe,erlaß,pilotprojekt,pub,samstag
2021-05-02,corona,nachweis,abwasser,sonntag,eu,kreuzfahrt,geimpfte,mensch,armee,recherche
2021-05-03,volksfest,corona,geimpfte,oktoberfest,genesene,erleichterung,impfung,inzidenz,version,impfstoff
2021-05-04,corona,ärztetag,digitalisierung,erleichterung,verordnungsentwurf,straftat,bereich,impfstoff,morgenmagazin,mut
2021-05-05,corona,prozent,g7,impfstoff,impfquote,brennpunkt,dosis,mensch,impfung,umsatz
2021-05-06,patent,geimpfte,genesene,patentschutz,impfstoffe,forderung,impfung,freigabe,entscheidung,bundesrat
2021-05-07,nrw,notfallzulassung,corona,notstand,abstrichtupfer,bescheidenheit,geldausgeben,handelsüberschuß,impffahrplan,konsumwünsche
2021-05-08,patent,freigabe,patentschutz,produktion,impfstoff,corona,eu,qualität,ausnahmezustand,impfung
2021-05-09,zentralmoschee,platz,ditib,schlei,corona,emirat,samstagabend,mai,uhr,mensch
2021-05-10,prozent,förderschulen,corona,jahr,lerngruppe,mensch,lolli,impfschutz,genesene,erleichterung
2021-05-11,corona,bürgerfest,jugendhilfe,intensivpatienten,kritikern,grenzverkehr,arbeitsgemeinschaft,rechtsextremist,inzidenz,bischof
2021-05-12,corona,impfstoff,wochenschnitt,besucher,priorisierung,mai,eu,astrazeneca,juli,regierung
2021-05-13,impfstoff,antigenproduktion,ratte,immunantworten,tierversuch,impfung,impfstoffmengen,corona,patent,zulassung
2021-05-14,priorisierung,corona,arztpraxis,notstand,außenminister,bagatelldelikt,gewässer,impfausweisen,impfberechtigten,staatsbürgerinnen
2021-05-15,kirchentag,alte,junge,maa,innenraum,solidarität,prozent,bibelarbeit,brückentag,impfschutzes
2021-05-16,schwerpunktimpfung,kirchentag,impfung,modellversuch,ap,gerät,pub,alte,mensch,corona
2021-05-17,corona,priorisierung,studentin,urkundenfälschung,juni,million,impfwilligen,impfung,impftermin,bundesland
2021-05-18,hausärzteverband,praxis,post,umstand,impfung,corona,woche,hausarzt,signal,kind
2021-05-19,corona,praxis,impfpriorisierung,gasse,zertifikat,amtsrichter,haltbarkeitsdatum,weltärztebunds,impfstoff,variante
2021-05-20,kind,biontech,corona,vertrag,pfingsten,pfizer,kontrollmaßnahmen,aufhebung,variante,bahn
2021-05-21,alltagssituation,kino,filmtheater,maske,corona,ligen,arztpraxis,aufwand,juni,impfzentren
2021-05-22,variante,corona,zuschauer,einstufung,em,virusvariantengebiet,inhalt,geldstrafe,wettbewerb,begriff
2021-05-23,single,variante,corona,anhänger,vorrat,inhalt,polizei,schutz,mensch,sonntag
2021-05-24,green,corona,kongressabgeordnete,pandemie,schülerin,schüler,jugendliche,ausbildungsunternehmen,gegend,mensch
2021-05-25,corona,kind,impftourismus,influencer,jugendliche,landkreistag,prozent,impfbereitschaft,impfung,impfstoff
2021-05-26,erwachsene,corona,kanal,sprechen,variante,kind,jugendliche,dosis,impfstoff,impfung
2021-05-27,corona,kind,jugendliche,initiative,kuh,impfkommission,mensch,jahr,sommer,häftling
2021-05-28,corona,kind,jugendliche,impfstoff,dosis,impfung,juni,risiko,eu,juli
2021-05-29,jugendherbergen,impfung,klassenfahrten,klein,kind,impfnachweis,arena,sprache,mensch,corona
2021-05-30,flaschenwürfen,polizei,pflicht,corona,kriterium,konzert,papier,homeoffice,abwasserproben,beamtin
2021-05-31,rechnung,corona,gasse,briefkasten,westpfalz,vereinigung,kind,elbphilharmonie,kontorolle,publikum
2021-06-01,corona,ausbildungsmarkt,schuljahr,dgb,kommission,infektionsschutz,bundesagentur,kriterium,mitgliedstaat,pandemie
2021-06-02,juni,corona,strang,joint,kapazität,dollar,erwachsene,beschuldigt,arbeitgeberverbände,bezirk
