,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10
2020-05-13,grenze,maa,kontorolle,resolution,text,corona,bundesaußenminister,schlachthof,afd,teilnahme
2020-05-14,corona,krise,kind,milliarde,vernunft,euro,bundestag,entzündung,kawasaki,lunge
2020-05-15,coronakrise,corona,industrieproduktion,krebshilfe,prozent,dfl,liga,kennzahl,trainer,pandemie
2020-05-16,ureinwohner,corona,bundespolizei,bundesliga,verschwörungstheoretiker,mensch,demonstration,beschränkung,coronavirus,beitrag
2020-05-17,corona,motiv,museumstag,distrikt,coronavirus,protest,person,rücken,premierministerin,pandemie
2020-05-18,corona,jahresversammlung,rücken,pandemie,medikament,land,videokonferenz,ausgangssperre,ende,quartal
2020-05-19,corona,krise,zahlungsstopp,prostitution,emission,fachgesellschaft,co2,auto,hilfsfonds,malaria
2020-05-20,fleischindustrie,bundeskabinett,corona,novelle,fleisch,werkvertrag,gutschein,grünen,krise,land
2020-05-21,corona,tropenwälder,fläche,herdenimmunität,coronavirus,mensch,name,reihe,europäer,westerfellhaus
2020-05-22,gedicht,ausbau,corona,neustart,krise,umbau,muslim,werk,erfahrung,bundespräsident
2020-05-23,vox,juni,baptisten,kirchengemeinde,studierend,coronavirus,kultur,hilfsfonds,text,mensch
2020-05-24,bell,corona,mensch,baptisten,kirchengemeinde,muslim,gesellschaft,kasse,gottesdienst,restaurantbesuch
2020-05-25,corona,händewaschen,gottesdienst,gehaltserhöhung,gemeindeverwaltung,lockerungsdebatte,stab,ap,ansteckungs,außenterrasse
2020-05-26,mindestlohn,staatshilfe,autobranche,techniker,juni,rettungspaket,ministerpräsident,krankenkasse,kabinett,corona
2020-05-27,kommission,eu,europaparlament,generation,milliarde,konjunktureinbruch,corona,euro,gutschein,pandemie
2020-05-28,juni,air,park,coronakrise,corona,nationalversammlung,open,philologenverband,fluggesellschaft,prozent
2020-05-29,raumfahrer,bildschirm,louvre,g7,coronavirus,verein,land,präsident,tourist,bedingung
2020-05-30,corona,mensch,demonstration,levit,insel,zusammenarbeit,wiederaufbaufonds,coronavirus,weltgesundheitsorganisation,sportler
2020-05-31,moschee,kaufprämie,mensch,aksa,tempelberg,corona,al,konjunkturprogramm,auto,mekka
2020-06-01,corona,gastwirt,aufsichtsrat,sonderregelung,juni,krankschreibung,umfrage,museum,sicherheitsabstand,schule
2020-06-02,konjunkturpaket,zone,corona,kanzleramt,koalition,familie,maa,entlastungsprogramm,flüchtlingskrise,gesundheitsfachleute
2020-06-03,reisewarnung,erkenntnis,wissenschaftler,urlauber,virologe,stufe,dlf,juni,bundeskabinett,beratung
2020-06-04,donnerstag,rat,regelstudienzeit,semester,konjunkturpaket,corona,bafög,geberkonferenz,impfallianz,emirat
2020-06-05,zahl,land,kontorolle,prozent,tagestourist,corona,g7,inselstaat,juni,sommerferien
2020-06-06,corona,abrechnungsproblem,umnstellung,voreingenommenheit,garantie,mehrwertsteuersenkung,unterricht,mehrwertsteuersatz,handelskammertag,verbandschef
2020-06-07,polizeigewalt,rassismus,coronavirus,demonstrant,kunstmesse,lockerungsphasen,menschenmenge,corona,führung,abstandsregel
2020-06-08,corona,erstattung,rassismus,generaldebatte,reisende,großbritannien,vollversammlung,wochenende,fluggesellschaft,demonstration
2020-06-11,apps,corona,maa,coronavirus,einreisestopp,videokonferenz,it,datum,pandemie,bundesaußenminister
