,Count
regierungserklärung,1
freiheit,1
sondersitzung,1
friedhof,1
schließung,1
teil,1
fall,2
eilanträge,1
aufforderung,1
weihnachtsmann,1
wasserwerfer,1
klasse,1
tube,1
g20,1
dezember,6
zulassung,1
höchststand,1
weihnachten,8
böllern,1
silvester,3
hotelübernachtung,1
januar,10
impfung,30
sonntag,2
feiertag,1
weihnachtsferie,1
jahreswechsel,1
querdenken,1
krisengipfel,1
verbot,1
ansammlung,1
triage,1
variante,10
mutation,9
flug,1
feuerwerk,1
dosis,11
geimpften,1
diskriminierung,1
natur,1
sinopharm,1
substanz,1
impfpflicht,1
novemberhilfe,1
pflegekraft,1
februar,3
klinikum,1
jährigen,1
länder,1
weiberfastnacht,1
inzidenz,7
spender,1
weihwasser,1
sieben,3
tage,3
kampagne,1
grenzkontrolle,1
bundespolizei,1
sauna,1
prioritätsgruppe,1
grundschullehrer,1
öffnung,1
lkw,1
pfizer,1
gastronomie,1
gasse,1
gefahrennotstands,1
förderschulen,1
schnelltests,3
stufenplan,1
öffnungsschritt,1
verzögerung,1
geimpfte,2
jahr,6
kontingent,1
bischofskonferenz,1
notstand,1
armut,1
pharmazie,1
discounter,1
selbsttests,1
charge,1
kapazitätsgrenze,1
priorisierung,1
hausbesuch,1
industrie,1
der,1
hausarzt,2
konflikt,1
hunger,1
vakzin,2
astrazeneca,3
blutgerinnsel,2
aussetzung,1
symbol,1
ostern,2
rücknahme,1
osterruhe,1
fehler,1
impfkampagne,2
zweitimpfung,1
erstimpfung,1
impfkommission,1
abiturprüfung,1
einheitlichkeit,1
thrombose,1
grafik,2
erwachsene,1
änderung,2
markteinführung,1
notbremse,4
infektionsschutzgesetz,3
testangebotspflicht,1
infektionsschutzgesetzes,1
ausbildungsverträge,1
amnestie,1
genesene,1
hilfslieferung,1
hochinzidenzgebiet,1
