Count,word,not
1,kita,#6299ff
1,sterblichkeitsrate,#6299ff
1,speichelprobe,#ff503c
1,ergebnis,#6299ff
2,pc,#ff503c
9,mutation,#6299ff
1,hauptvirus,#ff503c
1,molekülstruktur,#ff503c
1,unsinn,#6299ff
1,baum,#ff503c
1,verschwörungstheorie,#6299ff
1,wirtschaft,#6299ff
1,kawasaki,#6299ff
1,syndrom,#6299ff
1,niere,#6299ff
1,reproduktionsziffer,#ff503c
1,h1n1,#ff503c
1,wirkverstärker,#ff503c
1,vorwurf,#6299ff
1,schlachthof,#6299ff
1,schweinegrippe,#6299ff
2,haushalt,#6299ff
1,twitter,#6299ff
1,luftumsatz,#ff503c
1,tröpfcheninfektion,#6299ff
1,superspreading,#6299ff
1,dispersionsfaktor,#ff503c
1,dispersion,#ff503c
1,event,#6299ff
1,folgefall,#6299ff
1,streuparameter,#ff503c
2,wert,#6299ff
2,verteilung,#6299ff
1,erkrankungsbeginn,#ff503c
1,situationsbericht,#ff503c
1,menschenansammlung,#6299ff
2,inzidenz,#6299ff
1,auswertungsfenster,#ff503c
2,schnupfen,#6299ff
1,familienfeiern,#6299ff
1,maschine,#6299ff
4,viruslast,#6299ff
1,ausbreitungsrate,#ff503c
1,reduktion,#6299ff
1,nase,#6299ff
1,population,#6299ff
1,bottleneck,#ff503c
1,viruspopulation,#ff503c
1,evolution,#ff503c
2,blutgruppe,#6299ff
2,iga,#ff503c
2,ig,#6299ff
1,maskenpflicht,#6299ff
2,erkrankung,#6299ff
1,flugzeug,#6299ff
2,welle,#6299ff
1,ausbruch,#6299ff
1,podcast,#6299ff
1,neuropilin,#ff503c
2,motiv,#6299ff
1,studium,#6299ff
1,ungewissheit,#6299ff
1,krise,#6299ff
1,sprache,#6299ff
1,stimmungswandel,#ff503c
2,herr,#6299ff
1,bürger,#6299ff
1,bürgerinnen,#6299ff
1,prof,#6299ff
7,frau,#6299ff
1,sicht,#6299ff
1,druck,#6299ff
1,preis,#6299ff
1,geld,#6299ff
2,phase,#6299ff
1,aerosole,#6299ff
1,raum,#6299ff
1,luftqualität,#6299ff
2,mensch,#6299ff
1,partikel,#6299ff
1,amtsarzt,#6299ff
1,chip,#6299ff
1,familienverband,#ff503c
1,metallkugel,#ff503c
1,gitter,#6299ff
1,flug,#6299ff
2,asymptomatischen,#ff503c
1,fieber,#6299ff
1,seroprävalenz,#ff503c
4,bevölkerung,#6299ff
1,blutspender,#ff503c
1,hülle,#ff503c
1,ct,#ff503c
2,seife,#6299ff
1,gedächtnis,#ff503c
1,gedächtniszelle,#ff503c
1,cd4,#ff503c
2,sars,#6299ff
1,immungedächtnis,#ff503c
1,zink,#6299ff
1,remdesivir,#6299ff
2,zulassung,#6299ff
1,zusammenhalt,#6299ff
1,kontakt,#6299ff
1,pflegekraft,#6299ff
1,intensivstation,#6299ff
1,kipppunkt,#ff503c
1,bett,#6299ff
1,betreuung,#6299ff
1,verhalten,#6299ff
1,tracing,#6299ff
1,trägervirus,#ff503c
1,gruppe,#6299ff
1,dengue,#ff503c
1,immunzellen,#ff503c
1,circuit,#ff503c
1,aspirin,#ff503c
1,autoantikörper,#ff503c
1,re,#ff503c
3,risiko,#6299ff
1,veränderung,#6299ff
1,nerzen,#6299ff
1,level,#ff503c
1,antigentests,#ff503c
2,antigentest,#6299ff
1,liste,#6299ff
1,falsch,#ff503c
1,sensitivität,#ff503c
1,ambulanz,#ff503c
1,atemwegsinfektion,#6299ff
2,beschwerde,#6299ff
1,müdigkeit,#6299ff
1,kopfschmerz,#6299ff
1,leopoldina,#ff503c
1,klasse,#6299ff
1,vorstellung,#6299ff
1,hälfte,#6299ff
2,weihnachten,#6299ff
1,geruch,#ff503c
1,lehrer,#6299ff
11,variante,#6299ff
4,mutante,#6299ff
1,stelle,#6299ff
7,dosis,#6299ff
1,nebenwirkung,#6299ff
3,immunescape,#ff503c
1,,#6299ff
1,reinfektion,#6299ff
1,plasma,#6299ff
1,quartal,#6299ff
1,treiber,#6299ff
2,million,#6299ff
1,vektor,#6299ff
2,adenovirus,#ff503c
1,antigen,#6299ff
3,vakzine,#6299ff
2,astra,#6299ff
1,mutanten,#6299ff
1,frettchen,#ff503c
1,individualschutz,#ff503c
1,mann,#6299ff
1,ivermectin,#6299ff
1,brille,#ff503c
1,auge,#6299ff
1,rsv,#ff503c
1,zell,#ff503c
3,thrombose,#6299ff
1,heparin,#ff503c
1,hit,#6299ff
1,sinusvenenthrombose,#6299ff
1,thrombozyten,#ff503c
1,blutplättchen,#6299ff
1,bauchschmerzen,#ff503c
1,modellprojekt,#6299ff
1,wissenschaftsleugnung,#ff503c
1,dauerwelle,#ff503c
1,modellversuch,#6299ff
1,uhr,#6299ff
1,mitarbeiter,#6299ff
1,genesenen,#6299ff
1,sinusvenenthrombosen,#6299ff
1,uv,#6299ff
1,schleimhaut,#ff503c
1,myokarditis,#ff503c
1,auffrischungsimpfung,#6299ff
1,gürtelrose,#ff503c
1,operation,#6299ff
1,schlüsselmutation,#6299ff
1,infektiosität,#6299ff
1,viruslastgipfel,#ff503c
1,auto,#6299ff
